id,k,type
672004670624890880,-0.291435569524765,-
-672004670624890880,-0.291435569524765,+
39759401317302272,-0.01724289171397686,-
-39759401317302272,-0.01724289171397686,+
-904687100866068480,0.39234548807144165,-
904687100866068480,0.39234548807144165,+
76346514019975168,-0.03311002254486084,-
-76346514019975168,-0.03311002254486084,+
-888696284788031488,0.3854105770587921,-
888696284788031488,0.3854105770587921,+
-406972100033642496,0.1764960139989853,-
406972100033642496,0.1764960139989853,+
